      1                0.03489                0.00061                0.99939 
      2                0.77397                0.29710                0.55919 
      3               -0.48730                0.67071               -0.55919 
      4                0.20310                0.66431               -0.71934 
      5               -0.82018                0.34814               -0.45399 
      6                0.54697               -0.81092                0.20791 
      7                0.73229                0.63657                0.24192 
      8                0.43829                0.82430                0.35837 
      9                0.57139               -0.04999               -0.81915 
     10                0.75011               -0.30306               -0.58779 
     11               -0.26145               -0.31158                0.91355 
     12               -0.01317                0.75459                0.65606 
     13               -0.06596               -0.02271                0.99756 
     14                0.62435               -0.64654                0.43837 
     15               -0.99985                0.00000                0.01745 
     16               -0.61895                0.64094                0.45399 
     17                0.58770                0.80889                0.01745 
     18               -0.00000                0.92718                0.37461 
     19               -0.55843               -0.82790                0.05234 
     20                0.72410                0.65198               -0.22495 
     21                0.90286               -0.42101                0.08716 
     22               -0.20550               -0.89013               -0.40674 
     23               -0.80654                0.50398                0.30902 
     24               -0.59169               -0.25116                0.76604 
     25               -0.90134                0.09474                0.42262 
     26                0.45347               -0.12151               -0.88295 
     27               -0.85845               -0.31245                0.40674 
     28               -0.26745                0.06668               -0.96126 
     29               -0.80296               -0.46359                0.37461 
     30               -0.48528                0.74726               -0.45399 
     31                0.08766                0.83408               -0.54464 
     32                0.05366               -0.30432               -0.95106 
     33               -0.44235                0.86817               -0.22495 
     34               -0.82286               -0.51418               -0.24192 
     35                0.90410               -0.06322                0.42262 
     36                0.85957                0.10554               -0.50000 
     37                0.20114                0.75067               -0.62932 
     38               -0.85664                0.51472                0.03490 
     39                0.43852                0.11750               -0.89101 
     40                0.35396                0.92209                0.15643 
     41                0.25740               -0.96063                0.10453 
     42               -0.28230                0.86883                0.40674 
     43                0.95647                0.22082                0.19081 
     44               -0.22229               -0.21466               -0.95106 
     45               -0.16278                0.28195                0.94552 
     46               -0.91816                0.37096               -0.13917 
     47                0.61609               -0.55473               -0.55919 
     48               -0.64611                0.48688               -0.58779 
     49                0.44575               -0.63660                0.62932 
     50                0.65194                0.62957               -0.42262 
     51               -0.41287                0.47495                0.77715 
     52                0.36501               -0.08427                0.92718 
     53                0.27547                0.96068               -0.03490 
     54                0.05533                0.45061                0.89101 
     55               -0.52084               -0.15924                0.83867 
     56                0.31609               -0.70996                0.62932 
     57                0.24108                0.84074               -0.48481 
     58               -0.51634               -0.82631               -0.22495 
     59                0.75950                0.53181                0.37461 
